,Label
3909,0
2890,0
2843,0
4603,0
4875,0
236,1
1238,1
6755,1
9751,1
6779,0
1123,1
6460,1
671,1
5372,1
7407,0
399,1
1570,1
853,0
8112,1
8197,1
5028,0
10215,1
4,1
4868,1
5316,1
5146,1
7491,0
4584,1
846,0
927,0
5811,1
10353,1
1212,1
3861,0
7627,0
7447,0
7255,0
261,1
4401,1
8534,1
1081,1
10594,1
8195,1
9179,1
4238,1
1397,0
6663,0
3229,0
4716,0
3676,0
413,0
6344,1
3538,0
5652,1
7730,0
3453,0
2045,0
6255,1
8638,1
307,0
10519,1
2216,0
5180,1
6291,1
4272,1
2367,0
3102,0
8580,1
8933,1
6821,0
6720,0
3621,0
1148,0
405,1
4388,1
3713,0
4114,1
2734,0
525,0
8214,1
9261,1
1767,0
9758,1
6521,1
3629,0
4686,1
9752,1
2745,0
7193,0
1974,0
8073,1
844,0
685,0
5467,0
1622,0
4177,1
8648,1
8163,1
3585,0
10305,1
6277,1
9402,1
5407,0
2294,0
8539,0
10131,1
2011,0
5876,1
4811,0
3760,0
5020,1
3698,0
2781,0
4971,0
7739,0
2486,0
1778,0
10186,1
8348,1
10404,1
4514,1
835,1
3440,0
3625,0
7076,0
3507,0
1136,0
4828,1
7634,0
8780,1
2400,0
6204,1
2426,0
8597,1
5670,1
546,1
1037,0
8935,1
7606,0
6929,0
8621,1
3668,0
7815,1
6612,1
4809,0
8187,1
2584,0
3335,0
508,0
167,1
7725,0
3699,0
10491,1
8934,1
3895,0
6004,1
4413,1
6716,0
10178,1
274,1
2144,0
1244,1
8938,1
3470,0
1597,1
4615,0
9811,1
1913,0
4860,1
7012,0
7432,0
5968,1
5183,1
4916,1
1680,0
7126,0
5815,1
2844,0
9129,1
4181,1
6646,0
3344,0
1598,1
1717,0
6088,1
3372,0
8004,1
7205,0
1298,1
5312,1
5417,1
6041,0
239,1
5832,1
9926,1
2169,0
3616,0
7104,0
449,0
7932,1
5194,0
9687,1
10213,1
9865,1
1111,1
8457,1
7251,0
7436,1
7625,0
10477,1
6212,1
4671,1
784,1
6605,1
4969,1
5816,1
544,1
8974,1
6081,1
1429,0
2594,0
10047,1
3892,0
9272,1
3138,0
1084,1
8046,1
440,0
4512,1
9133,1
8270,1
2779,0
5886,0
8130,1
6770,0
8120,1
328,0
190,0
3016,0
7618,0
2398,0
7861,1
1351,1
8921,1
4785,0
2318,0
3071,0
1327,0
2845,0
10078,1
5309,1
7930,1
3345,0
5830,1
193,0
6570,1
3685,0
5521,0
1074,1
5137,0
850,0
9339,1
1738,0
1497,1
5308,1
7574,0
8492,1
4652,0
2453,0
8279,1
7980,1
9438,1
4074,1
6329,1
4974,0
1079,1
4436,0
8530,1
10130,1
7055,0
6625,0
2872,0
9433,1
4595,0
6232,1
8497,1
9232,1
2876,0
2037,0
2331,0
9999,1
982,0
4483,1
7656,0
9112,1
1163,1
4183,1
4328,1
4636,1
9574,1
9888,0
446,0
8048,1
9134,1
79,0
7752,0
2379,0
7318,0
4979,1
1544,1
1387,1
3262,0
2347,0
2972,0
8735,1
9826,1
8952,1
1001,0
7371,0
1204,1
619,0
7764,1
2042,0
2670,0
7356,0
4697,1
10032,1
2050,0
576,0
5970,1
5221,1
4337,1
1862,0
3817,0
7863,1
2083,0
5470,0
7094,0
3361,0
8303,1
10236,1
2255,0
9217,1
2320,0
6753,0
1969,0
4397,1
898,0
10184,1
5760,1
8984,1
5950,1
9383,1
3045,0
5254,1
7360,0
10276,1
6149,1
6916,1
8283,1
5542,0
9753,1
10622,1
10508,1
7096,1
8259,1
4122,1
7305,0
8216,1
6372,1
39,0
286,0
6850,0
5693,1
6471,1
522,0
10136,1
8078,1
2754,0
8683,1
2136,0
5649,1
9138,1
3598,0
3590,0
9633,1
8379,1
10041,1
8392,1
6476,1
5981,1
5450,0
8036,1
4249,1
894,0
7524,0
10372,1
821,1
6234,1
2248,0
122,1
2735,0
1782,0
4788,0
8286,1
1262,1
2356,0
1705,0
543,1
3758,0
1771,0
2139,0
9028,1
3734,0
721,1
6066,1
7997,1
804,1
5677,1
1996,0
3857,0
1948,0
10056,1
290,1
2526,0
8812,1
4163,1
3233,0
9520,1
3788,0
3952,0
4201,1
3840,0
4041,1
7729,0
1261,1
4160,1
9639,1
1248,1
7517,1
5653,1
7089,0
7401,0
10119,1
3270,0
4897,1
8733,1
2958,0
9185,1
3822,0
9856,1
1627,0
712,1
5804,1
10257,1
5938,0
9464,1
1775,0
4907,1
6475,1
9915,1
7926,1
7425,0
4553,1
75,1
3432,0
10315,1
9845,1
3151,0
5105,1
10230,1
7799,0
5525,0
8429,1
4236,1
4816,1
3291,0
6105,1
6977,0
2590,0
6743,0
4618,0
1488,1
9146,1
1573,1
6497,1
4850,0
10606,1
1043,0
1891,0
4419,1
10446,1
5152,0
2261,0
4901,0
1059,1
10132,1
5215,0
751,0
10059,1
9455,1
6220,1
4973,0
3241,0
10221,1
5090,0
1832,0
1931,0
9199,1
8177,1
10157,1
8964,1
802,0
6200,1
6022,1
1631,1
2883,0
7362,0
5935,0
641,0
5571,0
1837,0
8662,1
6970,0
10418,1
8458,1
10273,1
4261,1
8674,1
4357,1
4776,0
6132,1
2300,0
7908,1
4756,1
4377,1
9398,1
3010,0
2893,0
4529,0
7229,0
9911,1
7467,0
6752,0
9408,1
6067,1
1337,1
4408,1
4405,1
163,0
2917,0
7387,0
10045,1
8016,1
9779,0
6337,1
5124,0
3206,0
5384,0
5136,0
2862,0
8119,1
8281,1
1265,1
4554,0
474,0
6187,1
10582,1
9948,1
10161,0
8427,1
2801,0
8522,1
606,0
2474,0
1359,0
4276,1
2625,0
7369,0
10310,1
8689,1
5769,1
7890,1
5687,1
5752,1
2489,0
3725,0
1366,1
3235,0
2990,0
9593,1
6508,1
273,1
4155,1
7613,0
7338,0
1214,1
5696,1
9878,1
9977,1
2922,0
289,1
3777,0
10555,1
9522,1
8045,1
10558,1
5468,0
9773,0
8430,1
4203,1
6491,1
6379,1
9354,1
3277,0
9904,1
3519,0
953,1
2389,0
6133,1
5138,0
8716,1
8816,1
356,1
9701,1
922,1
371,0
136,1
7549,0
5367,1
7174,0
10537,1
7029,1
8030,1
4075,1
8077,1
4029,1
4745,0
4467,0
7267,0
6762,0
6189,1
6670,0
725,0
6143,1
6316,1
3462,0
4143,1
10173,1
3990,0
4071,1
5233,0
10117,1
6694,0
10160,0
3388,0
8512,1
3123,0
3161,0
7526,0
6008,1
4983,0
3956,1
4861,1
49,1
3409,0
8667,1
5992,1
10527,1
4631,0
9524,1
366,1
1577,1
9986,1
3303,0
2260,0
5867,1
8880,1
6109,1
7954,1
4547,1
8256,1
5186,0
1881,0
2741,0
10101,1
3347,0
7156,0
7095,0
3004,0
4256,1
7622,1
4072,1
7756,0
8029,1
9695,1
8006,1
4138,1
4827,1
2604,0
9073,1
9472,1
5773,1
5195,0
1446,1
3056,0
9558,1
9740,1
1669,1
3130,0
5080,0
7244,0
9238,1
4720,1
609,0
798,1
6313,1
6735,0
10452,1
3979,0
687,0
7813,1
11,1
10440,1
6384,1
1914,0
6754,1
9803,1
5989,1
1603,1
6676,0
1639,0
8230,1
5634,0
7050,0
1170,1
5110,1
2505,0
7037,0
6235,1
3793,0
3166,0
2433,0
2768,0
7164,0
1100,1
4511,1
9952,1
8995,0
1094,1
6699,0
1174,1
597,0
7441,0
5544,0
1101,1
7292,0
6677,0
9174,1
1558,0
5262,1
9279,1
4126,1
4379,1
7286,0
4417,1
7189,1
6150,1
7961,1
5039,0
5074,0
6889,0
8374,1
7017,0
3261,0
7607,0
1145,0
5743,1
8604,1
1280,1
8040,1
4258,1
5572,0
9750,1
5713,1
10425,1
367,0
3800,0
6321,1
81,1
5494,0
3839,0
7469,0
9658,1
6823,0
60,1
5754,1
8986,1
3594,0
5853,1
6479,1
5899,1
2242,0
7683,0
7646,0
6831,1
8526,1
3391,0
4016,1
10195,0
2771,0
202,1
8548,1
5641,0
2291,0
3536,0
2468,0
7786,0
3572,0
6061,1
4924,1
8164,1
7803,0
6182,1
8110,1
5144,1
2611,0
5451,0
601,0
2580,0
6785,0
7242,0
7430,0
6687,0
10150,0
2257,0
4527,0
8191,1
2908,0
4079,1
8540,1
9723,1
9616,1
2456,0
7450,0
5058,0
5956,1
863,0
7563,0
10307,1
7038,0
1353,1
398,1
908,0
2540,0
1270,1
1865,0
4791,1
8405,1
10050,1
7518,0
6399,1
3226,0
9448,1
4624,1
4895,1
5353,1
3082,0
2981,0
296,1
3246,0
648,0
1216,1
10532,1
3815,0
5129,1
3380,0
6114,1
4837,0
9877,1
9297,1
5024,1
4373,1
8506,1
5359,1
3232,0
6917,0
9697,1
7350,0
10120,1
3121,0
1128,1
4614,0
4725,1
1624,0
2145,0
9756,1
7482,0
985,1
1316,0
10272,1
6519,1
10535,1
6585,1
1815,0
6059,1
3378,0
5703,1
1228,1
7958,1
9091,1
8096,1
9902,0
8618,1
929,1
1956,0
6020,1
2108,0
3192,0
819,1
2029,0
9159,1
3523,0
666,0
7913,1
10322,1
5016,0
9404,1
6186,1
4976,1
9759,1
9747,1
8411,1
4625,0
5907,1
4960,0
7984,0
1367,1
3930,0
1126,1
2975,0
1116,1
2562,0
1512,0
7019,0
3331,0
4796,1
919,1
3181,0
5177,1
3326,0
8290,1
436,0
8652,1
7746,0
1311,0
5219,1
867,0
4819,1
1487,1
48,1
9416,1
10224,1
121,1
9595,1
8871,1
8566,1
8691,1
5134,0
3826,0
7840,1
3500,0
7001,0
377,1
3553,0
4648,1
3903,0
1831,0
6135,1
1596,1
10496,1
1301,1
1562,1
134,1
10098,1
6984,0
2343,0
7485,0
2865,0
1986,0
9971,1
7644,0
9052,1
5912,1
6961,1
9508,1
1266,1
475,0
10619,1
299,0
4632,1
9165,1
1876,0
8426,1
10103,1
4212,1
5863,1
7928,1
5280,1
1534,1
2914,0
8015,1
6016,1
8579,1
6283,1
8226,1
3669,0
5269,1
5243,0
5493,0
930,1
482,0
5955,1
10172,1
8134,1
8296,1
8877,1
2759,0
453,0
9540,1
3269,0
8323,1
1086,1
3603,0
9499,1
7736,0
5620,0
8269,1
9348,1
6921,0
5820,0
852,1
2263,0
8115,1
10333,1
3051,0
8244,1
1973,0
3376,0
8824,1
2197,0
6152,1
10139,1
9810,1
1813,0
9372,1
5378,1
4223,1
4343,1
4374,1
3961,0
5296,1
9094,1
4028,1
256,1
6647,0
6484,1
684,0
1107,1
3477,0
10240,1
6202,1
2839,0
2295,0
8285,1
9375,1
7922,1
2797,0
4642,0
6252,1
9576,1
9022,1
125,1
1682,0
8761,1
750,0
10261,1
6776,0
7542,0
8560,1
7206,0
5025,1
3117,0
8194,1
1704,0
729,1
9924,1
3599,0
3108,0
3385,0
2597,0
1319,1
7182,0
4839,1
8301,1
6058,1
783,0
9409,1
6101,1
10479,1
8694,1
5608,0
266,1
3739,0
2365,0
1823,0
267,1
7664,0
3268,0
5452,0
7186,1
2423,0
6952,0
10055,1
2731,0
5305,1
4865,0
10064,1
3019,0
1090,1
3499,0
7962,1
8169,1
6679,0
3533,0
9848,1
7310,0
1659,1
4289,1
3738,0
9535,1
3132,0
6769,0
741,1
7610,0
7796,0
7141,0
1454,0
6381,1
2041,0
6540,1
3445,0
7424,0
6284,1
6253,1
8514,1
8049,1
1169,1
3674,0
10506,1
9465,1
2558,0
5079,0
6349,1
7603,0
2993,0
10598,1
4930,1
2551,0
7265,0
1860,0
3516,0
10380,1
10212,1
3463,0
2067,0
5857,1
5909,1
7014,0
1200,1
8384,1
2405,0
1132,1
9898,1
2767,0
1957,0
1024,1
9197,1
8918,1
9883,1
3484,0
4845,0
7372,0
3833,0
875,0
2470,0
2140,0
8396,1
9075,1
5559,0
8719,1
6119,0
9299,1
2220,0
6320,1
7507,0
5553,0
8258,1
3497,0
7947,1
6342,1
321,1
3346,0
8633,1
6456,0
5567,0
766,0
4022,1
9418,1
2639,0
742,0
6577,1
9640,1
7583,0
2915,0
3851,0
7170,0
10070,1
5063,0
10627,1
9227,1
1112,1
7429,0
7864,1
9014,1
7122,0
7238,0
7689,0
2516,0
3393,0
2525,0
10134,1
3711,0
1590,0
8942,1
7733,0
5151,0
3690,0
4005,1
1798,1
9985,1
2005,0
3394,0
3495,0
5629,0
3757,0
5027,0
4480,0
6798,0
3084,0
9379,1
2419,0
6301,1
5618,0
7774,0
6543,1
2469,0
1691,0
3634,0
968,0
1579,1
3959,0
1961,0
3178,1
8061,1
4361,1
9205,1
10398,1
4834,0
7236,0
1305,0
6655,0
5676,1
4929,1
9080,1
782,1
5975,1
1113,1
1503,0
3003,0
3926,0
1011,0
9062,1
7550,0
6267,1
10030,1
3307,0
2600,0
388,1
5759,1
1379,1
8360,1
7489,0
8591,1
1504,0
1158,1
3973,0
3964,0
10019,1
1378,1
5246,0
10142,1
652,1
6688,0
1541,1
8651,1
2209,0
7313,0
8532,1
10605,1
6494,1
3530,0
50,1
3852,0
5619,0
8210,1
2588,0
8635,1
5665,1
6967,0
5954,1
556,1
10374,1
1818,0
2964,0
10384,1
10455,1
4628,0
6328,1
5929,1
7652,1
8307,1
642,0
271,0
8853,1
3472,0
132,1
7109,0
1840,0
6447,0
3294,0
10435,1
8343,1
8069,1
2350,0
1563,1
7259,0
6658,0
7844,1
6416,0
9890,1
7927,1
2030,0
4633,1
5281,1
3457,0
5149,1
5526,0
2322,0
6179,1
95,1
9203,1
2307,0
8771,0
7514,0
5087,1
1724,0
7042,0
6125,0
6215,1
2931,0
1536,1
5331,1
1109,1
3663,0
10511,1
2190,0
4362,1
3063,0
77,1
4612,0
5325,1
4923,1
2341,0
275,1
7320,0
3187,0
6976,0
3311,0
9466,1
1155,0
5032,0
4473,1
6572,1
9130,1
2548,0
10536,1
5167,0
6231,1
2528,0
1967,0
10102,1
7280,0
9255,1
5419,1
2366,0
4330,1
5111,0
3298,0
8805,1
2480,0
4458,1
8992,0
6982,0
8504,0
6607,1
2062,0
5224,0
7351,0
4129,1
9638,1
5045,0
3838,0
6496,1
6364,1
1940,0
9561,1
3579,0
3710,0
4055,1
5827,1
7048,0
7125,1
5885,1
2783,0
4319,1
6210,1
5890,0
3884,0
5974,1
8697,1
3898,0
90,0
8840,1
8388,1
10480,1
4881,0
8295,1
2394,0
2887,0
2634,0
10299,1
2429,0
3046,0
2817,0
6166,1
3143,0
6686,0
1608,1
1452,0
5287,1
2000,0
700,1
2358,0
7876,1
6262,1
5223,1
1118,1
3022,0
1464,0
7080,0
3441,0
4912,1
8312,1
2258,0
4172,1
6308,1
2607,0
5721,1
6820,0
1344,1
6129,1
6633,0
8537,1
3928,0
8477,1
10603,1
1162,1
5842,1
7866,1
5300,1
9168,1
9686,1
3128,0
1357,1
1713,0
179,1
9963,1
351,0
10254,1
3765,0
5514,0
9583,1
6680,0
5484,0
9683,1
4045,1
5004,0
7253,0
9742,1
4427,0
9316,1
5562,0
2447,0
1356,1
4846,1
7717,0
8976,1
7171,0
2504,0
2488,0
4423,0
1854,0
5870,1
1256,1
8167,1
4945,1
4141,1
2728,0
5717,1
5569,0
8647,1
3369,0
1719,0
5755,1
4207,1
7086,0
978,0
10463,1
8208,1
999,1
584,0
6397,1
9283,1
5763,1
6380,1
100,1
8264,1
3254,0
9291,1
6483,0
7540,0
6954,0
8753,0
52,1
406,1
670,0
2710,0
7121,0
4188,1
7637,0
1004,0
2847,0
3280,0
7662,0
3050,0
10176,1
1303,0
9533,1
3177,0
3251,0
9253,1
9655,1
6197,1
3787,0
3968,0
2928,0
5563,0
2819,0
9224,1
391,0
4953,0
794,1
3539,0
2465,0
368,0
6069,1
1681,0
5445,0
3716,0
4014,1
1883,0
6147,1
8260,1
426,0
5776,1
7628,0
10336,1
1829,0
966,0
7973,1
4133,1
2549,0
7609,0
28,1
9700,1
903,0
9155,1
10256,1
5089,0
3728,0
4253,1
285,0
7732,0
9326,1
2375,0
6169,1
9731,1
4765,1
1358,1
3083,0
9475,1
4390,1
5507,0
3604,0
6717,0
7073,0
6837,0
3043,0
4613,0
8387,1
4370,1
6300,1
9531,1
9897,1
548,1
4949,0
4918,1
9060,1
4947,1
9771,0
3416,0
9267,1
657,0
6888,0
10375,1
2923,0
1757,0
6489,1
7061,0
3771,0
1992,0
3677,0
5574,0
2736,0
3546,0
2616,0
5044,1
8999,1
8055,1
9282,1
6276,1
7522,0
3356,0
8410,1
2154,0
7216,0
7680,0
5012,1
9474,1
1835,0
269,0
250,0
6740,0
331,0
4234,1
3118,0
397,1
7755,0
4325,1
35,1
2894,0
5810,1
2233,0
178,1
242,1
9480,1
3627,0
4502,1
726,1
5197,1
1299,1
580,0
1224,1
6138,1
1968,0
7405,0
5188,0
8098,1
7985,1
5782,1
4617,0
1609,1
8060,1
4367,1
63,1
10371,1
1156,0
8814,1
265,1
6077,1
6439,1
1601,1
7204,0
8114,1
3733,0
8011,0
8128,1
3704,0
10165,1
29,1
2599,0
10251,1
8727,1
9107,1
4375,1
557,1
2251,0
10174,0
3563,0
6903,0
10410,1
6057,0
10140,1
5121,1
3577,0
6199,1
621,0
4743,1
10247,1
964,0
8338,1
6659,0
7821,1
1191,0
2496,0
3890,0
3767,0
9135,0
6003,1
9436,1
6621,0
3778,0
6879,0
6025,1
1329,1
8408,1
5491,0
9424,1
2900,0
5683,1
811,0
462,0
1895,0
450,0
1402,0
9868,1
10135,1
6562,1
5727,1
1050,1
3276,0
1046,1
1002,0
9526,1
3397,0
594,0
10378,1
3761,0
4999,1
7792,0
7567,0
9020,1
1202,1
216,0
9668,1
8333,1
9835,1
2805,0
2126,0
10022,0
10348,1
6886,0
8989,0
1594,1
2275,0
7882,1
1915,0
7871,1
8028,1
6487,1
518,0
9807,1
7328,0
10105,1
1935,0
7127,0
9239,1
2827,0
404,1
5220,1
8149,1
6242,1
6949,0
6245,1
9596,1
2576,0
727,0
10611,1
10548,1
4658,1
4521,1
7112,0
3759,0
8879,1
7676,0
4251,1
8858,1
912,0
3428,0
7911,1
4761,0
10248,1
4368,1
9084,1
2446,0
3330,0
10408,1
9113,1
9122,1
1646,1
7520,0
4781,0
9059,1
6789,1
9039,1
5209,0
5290,1
6030,1
2305,0
2967,0
7461,0
139,1
2448,0
1520,0
8385,1
3467,0
7914,1
6263,1
10572,1
5286,1
8611,1
281,1
9725,1
4587,0
6848,0
8779,1
4862,0
195,0
5549,0
4039,1
1981,0
5767,1
5607,0
6878,0
9221,1
5978,1
1291,0
9527,1
7696,1
10458,1
3643,0
5391,0
5604,0
9624,1
3240,0
2272,0
3551,0
6155,1
4676,1
851,1
3091,0
6834,0
2726,0
2229,0
2860,0
2182,0
6371,1
5401,0
9956,1
831,0
479,0
772,1
4951,1
526,0
8212,1
8859,1
8496,1
4863,1
923,1
3255,0
1020,1
2649,0
9208,1
2278,0
5253,1
8615,1
2837,0
10456,1
1400,0
120,1
9953,1
27,1
9964,0
4096,1
6866,0
6026,1
9705,1
3253,0
155,1
188,1
6341,1
5659,1
1655,1
9356,1
9229,1
4112,1
6926,0
2725,0
6767,0
6053,1
2559,0
4398,1
8529,1
4127,1
654,1
743,0
10414,1
5528,0
7152,0
3488,0
917,1
7383,1
7623,0
5748,1
5187,0
5887,0
6465,0
568,0
9823,1
8700,1
5229,1
257,1
8636,1
8939,1
10306,1
5250,1
2218,0
1700,0
2174,0
6377,1
10361,1
5369,1
93,1
4184,1
1696,0
2148,0
5821,0
9371,1
2194,0
1,1
8593,1
9944,1
73,1
5018,1
487,0
6707,0
10469,1
887,1
2947,0
2171,0
7404,0
7750,0
1652,1
5225,0
862,0
10564,1
10225,1
6002,1
5642,0
4199,1
3912,0
9294,1
2556,0
6289,1
7473,0
7850,1
6580,1
3900,0
1958,0
2309,0
5437,0
187,1
10196,0
3715,0
4131,1
7437,1
6385,1
7283,0
574,0
1234,1
7632,0
5940,1
4783,1
7802,0
3257,0
4569,0
6363,1
3880,0
7535,0
8424,1
4539,1
979,0
126,1
9248,1
4327,1
7002,0
4586,0
2719,0
4804,1
2047,0
5015,0
2775,0
1421,1
6173,0
10385,1
3044,0
665,0
2691,0
9802,1
4790,1
4382,0
8599,1
6123,1
3031,0
6560,1
5565,0
149,0
7257,0
8596,1
9247,1
2166,0
10182,1
7225,0
8813,1
9192,1
4507,1
3584,0
3910,0
2724,0
2368,0
2092,0
2867,0
9847,1
264,0
10133,1
7724,0
99,1
4118,1
